decision_ref,evidence_type,evidence_description,kpi_code,kpi_value,signal_ref,timestamp,confidence
dec_adopt_inference_workloads,kpi_metric,P3-KPI1: GPU utilization at 55% post-expansion -- capacity available,,,,2025-09-11,0.91
dec_adopt_inference_workloads,kpi_metric,P5-KPI6: Only 2 new use cases in 90 days -- inference adds growth vector,,,,2025-09-11,0.84
dec_adopt_inference_workloads,observation,Solutions Architect: Inference latency target achievable on current hardware,,,,2025-09-11,0.85
dec_adopt_inference_workloads,kpi_metric,P5-KPI7 improve (major),P5-KPI7,,,2025-09-11,0.91
dec_adopt_inference_workloads,kpi_metric,P5-KPI5 improve (major),P5-KPI5,,,2025-09-11,0.8
dec_adopt_inference_workloads,kpi_metric,P4-KPI5 improve (moderate),P4-KPI5,,,2025-09-11,0.9
dec_adopt_inference_workloads,kpi_metric,P1-KPI4 improve (major),P1-KPI4,,,2025-09-11,0.91
dec_adopt_inference_workloads,kpi_metric,P1-KPI5 improve (major),P1-KPI5,,,2025-09-11,0.87
dec_adopt_inference_workloads,kpi_metric,P3-KPI1 improve (moderate),P3-KPI1,,,2025-09-11,0.81
dec_adopt_inference_workloads,kpi_metric,P3-KPI2 improve (minor),P3-KPI2,,,2025-09-11,0.95
dec_adopt_inference_workloads,kpi_metric,P5-KPI1 improve (moderate),P5-KPI1,,,2025-09-11,0.95
dec_adopt_inference_workloads,kpi_metric,P3-KPI7 improve (moderate),P3-KPI7,,,2025-09-11,0.86
dec_adopt_inference_workloads,kpi_metric,P5-KPI6 improve (moderate),P5-KPI6,,,2025-09-11,0.91
dec_adopt_inference_workloads,kpi_metric,P3-KPI3 improve (minor),P3-KPI3,,,2025-09-11,0.77
dec_adopt_inference_workloads,kpi_metric,P4-KPI3 improve (minor),P4-KPI3,,,2025-09-11,0.92
dec_adopt_inference_workloads,kpi_metric,P4-KPI1 improve (moderate),P4-KPI1,,,2025-09-11,0.78
dec_adopt_inference_workloads,kpi_metric,P5-KPI8 improve (minor),P5-KPI8,,,2025-09-11,0.82
dec_strategic_expansion,kpi_metric,P5-KPI7: Expansion Probability at 78% -- high confidence,,,,2026-01-26,0.85
dec_strategic_expansion,kpi_metric,P5-KPI2: Capacity trajectory sustained +12% MoM across 40 weeks,,,,2026-01-26,0.7
dec_strategic_expansion,kpi_metric,P3-KPI1: GPU utilization at 75% on 4-rack footprint,,,,2026-01-26,0.77
dec_strategic_expansion,kpi_metric,P5-KPI3: Workload Growth Velocity sustained above 10% MoM for 8 months,,,,2026-01-26,0.73
dec_strategic_expansion,observation,First expansion ROI: paid back in 10 weeks,,,,2026-01-26,0.81
dec_strategic_expansion,observation,Second expansion ROI: paid back in 12 weeks,,,,2026-01-26,0.73
dec_strategic_expansion,observation,VP AI/ML 18-month roadmap requires 10-rack footprint,,,,2026-01-26,0.72
dec_strategic_expansion,kpi_metric,P5-KPI8 improve (major),P5-KPI8,,,2026-01-26,0.84
dec_strategic_expansion,kpi_metric,P5-KPI3 improve (moderate),P5-KPI3,,,2026-01-26,0.82
dec_strategic_expansion,kpi_metric,P5-KPI6 improve (moderate),P5-KPI6,,,2026-01-26,0.87
dec_strategic_expansion,kpi_metric,P3-KPI1 improve (moderate),P3-KPI1,,,2026-01-26,0.84
dec_strategic_expansion,kpi_metric,P5-KPI1 improve (moderate),P5-KPI1,,,2026-01-26,0.79
dec_strategic_expansion,kpi_metric,P5-KPI2 improve (moderate),P5-KPI2,,,2026-01-26,0.87
dec_strategic_expansion,kpi_metric,P5-KPI7 improve (major),P5-KPI7,,,2026-01-26,0.9
dec_strategic_expansion,kpi_metric,P5-KPI7 improve (critical),P5-KPI7,,,2026-01-26,0.93
dec_strategic_expansion,kpi_metric,P5-KPI5 improve (critical),P5-KPI5,,,2026-01-26,0.88
dec_strategic_expansion,kpi_metric,P4-KPI5 improve (major),P4-KPI5,,,2026-01-26,0.81
dec_strategic_expansion,kpi_metric,P4-KPI1 improve (major),P4-KPI1,,,2026-01-26,0.88
dec_strategic_expansion,kpi_metric,P1-KPI4 improve (major),P1-KPI4,,,2026-01-26,0.76
dec_strategic_expansion,kpi_metric,P1-KPI2 improve (major),P1-KPI2,,,2026-01-26,0.95
dec_strategic_expansion,kpi_metric,P3-KPI7 improve (major),P3-KPI7,,,2026-01-26,0.92
dec_strategic_expansion,kpi_metric,P4-KPI6 improve (moderate),P4-KPI6,,,2026-01-26,0.84
dec_strategic_expansion,kpi_metric,P5-KPI1 improve (major),P5-KPI1,,,2026-01-26,0.77
dec_strategic_expansion,kpi_metric,P5-KPI3 improve (major),P5-KPI3,,,2026-01-26,0.89
dec_strategic_expansion,kpi_metric,P1-KPI1 improve (moderate),P1-KPI1,,,2026-01-26,0.84
dec_strategic_expansion,kpi_metric,P4-KPI1 improve (major),P4-KPI1,,,2026-01-26,0.93
dec_strategic_expansion,kpi_metric,P5-KPI8 improve (major),P5-KPI8,,,2026-01-26,0.81
dec_strategic_expansion,kpi_metric,P4-KPI3 improve (moderate),P4-KPI3,,,2026-01-26,0.78
